category_feature,split,change_rate
cat_0,pretrain,0.846983875745122
cat_1,pretrain,0.061926117220185865
cat_2,pretrain,0.023310516864748786
cat_3,pretrain,0.022753989410937096
cat_4,pretrain,0.022885889888555666
cat_5,pretrain,0.022753989410937096
cat_6,pretrain,0.02281068347587841
cat_7,pretrain,0.022753989410937096
cat_8,pretrain,0.022753989410937096
cat_0,train,0.8857402334303182
cat_1,train,0.049507989515567806
cat_2,train,0.0067426354891091025
cat_3,train,0.006932568883168513
cat_4,train,0.00659936911092532
cat_5,train,0.006483585931595407
cat_6,train,0.0066125664885927716
cat_7,train,0.006483585931595407
cat_8,train,0.006483585931595407
cat_0,valid,1.0
cat_1,valid,0.04541524484780777
cat_2,valid,0.00019080486469446334
cat_3,valid,0.0003797662041261782
cat_4,valid,9.770683892566722e-05
cat_5,valid,0.0
cat_6,valid,0.0005171088362009369
cat_7,valid,0.0
cat_8,valid,0.0
cat_0,test,1.0
cat_1,test,0.049995121677998224
cat_2,test,0.00013550894449372954
cat_3,test,0.00027282467491404215
cat_4,test,4.6976434091159576e-05
cat_5,test,0.0
cat_6,test,0.00032070450196849325
cat_7,test,0.0
cat_8,test,0.0
