category_feature,feature_index,split,rows,min_code,max_code,cardinality,top1_share,top5_share,rare_share_count_lt100,unseen_vs_train_rate
cat_0,0,pretrain,866368,0,5,6,0.1703664031912536,0.835418667356135,0.0,0.16458133264386496
cat_0,0,train,6489099,0,5,5,0.20360191761598953,1.0,0.0,0.0
cat_0,0,valid,982972,0,5,5,0.2058787025469698,1.0,0.0,0.0
cat_0,0,test,2042538,0,5,5,0.2034625549194189,1.0,0.0,0.0
cat_1,1,pretrain,866368,0,12,13,0.16458133264386496,0.4780416635886829,0.0,0.16458133264386496
cat_1,1,train,6489099,0,12,12,0.09387435759571552,0.45554413640476127,0.0,0.0
cat_1,1,valid,982972,0,12,12,0.10026328318609279,0.4687976870144826,0.0,0.0
cat_1,1,test,2042538,0,12,12,0.10531554370102295,0.4906816911117443,0.0,0.0
cat_2,2,pretrain,866368,0,2,3,0.8265055957745439,1.0,0.0,0.16458133264386496
cat_2,2,train,6489099,0,2,2,0.8206342667911215,1.0,0.0,0.0
cat_2,2,valid,982972,0,2,2,0.876752338825521,1.0,0.0,0.0
cat_2,2,test,2042538,0,2,2,0.8919319983275709,1.0,0.0,0.0
cat_3,3,pretrain,866368,0,2,2,0.835418667356135,1.0,0.0,0.16458133264386496
cat_3,3,train,6489099,0,2,2,0.7814930855577947,1.0,0.0,0.0
cat_3,3,valid,982972,0,2,2,0.7535087469429445,1.0,0.0,0.0
cat_3,3,test,2042538,0,2,2,0.7839105074177323,1.0,0.0,0.0
cat_4,4,pretrain,866368,0,2,3,0.6723286178621556,1.0,0.0,0.16458133264386496
cat_4,4,train,6489099,0,2,2,0.8910813350204705,1.0,0.0,0.0
cat_4,4,valid,982972,0,2,2,0.9259348180823055,1.0,0.0,0.0
cat_4,4,test,2042538,0,2,2,0.935119444534202,1.0,0.0,0.0
cat_5,5,pretrain,866368,0,4103,1849,0.16458133264386496,0.16681710312476916,0.009723350816281303,0.16646275024008272
cat_5,5,train,6489099,0,4103,4093,0.00037462828044386437,0.0018725249838228697,0.0013262241799670493,0.0
cat_5,5,valid,982972,0,4103,3912,0.05524775883748469,0.05623659676979609,0.005252438523172582,0.05524775883748469
cat_5,5,test,2042538,0,4103,3915,0.17302542229324497,0.17389101206440222,0.0016058452768075795,0.17302542229324497
cat_6,6,pretrain,866368,1,33,33,0.16458133264386496,0.4215979814582256,0.0,0.16458133264386496
cat_6,6,train,6489099,1,33,32,0.08567753396889152,0.36311928666830323,0.0,0.0
cat_6,6,valid,982972,1,33,32,0.09555612977785735,0.4085701322112939,0.0,0.0
cat_6,6,test,2042538,1,33,32,0.10061697750543687,0.43032540887856185,0.0,0.0
cat_7,7,pretrain,866368,0,2,3,0.817946877077639,1.0,0.0,0.16458133264386496
cat_7,7,train,6489099,0,2,2,0.9844835161245036,1.0,0.0,0.0
cat_7,7,valid,982972,0,2,2,0.9866974847706751,1.0,0.0,0.0
cat_7,7,test,2042538,0,2,2,0.9873676768804301,1.0,0.0,0.0
cat_8,8,pretrain,866368,0,4,4,0.6388232252345424,1.0,0.0,0.16458133264386496
cat_8,8,train,6489099,0,4,4,0.5469070513487312,1.0,0.0,0.0
cat_8,8,valid,982972,0,4,4,0.478054308769731,1.0,0.0,0.0
cat_8,8,test,2042538,0,4,4,0.4484068350258355,1.0,0.0,0.0
