key,config,features,feature_count,window,train_start,train_stop,train_rows,rounds,training_seconds,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,selection_score,param_profile,train_stock_cap,num_threads
tuned_public_best_cap1200__legacy_328_full__r8,legacy_328_full,legacy_328,328,full,486,2918,2918400,8,20.06312131881714,0.092940153549703,0.10905264603155261,0.09186783594296577,0.059262187805490904,0.19753086419753085,0.08588286511883941,tuned_public_best,1200.0,30.0
tuned_public_best_cap1200__legacy_328_full__r16,legacy_328_full,legacy_328,328,full,486,2918,2918400,16,20.06312131881714,0.09236182294772528,0.10826266696245043,0.09075410461285797,0.05949591899823527,0.18930041152263374,0.08530632665736708,tuned_public_best,1200.0,30.0
legacy_328_full__r8,legacy_328_full,legacy_328,328,full,486,2918,6489099,8,69.26392149925232,0.0892274812367107,0.105382143565081,0.0858028078051077,0.0627030272625989,0.176954732510288,0.0828951884124074,,,
legacy_328_full__r16,legacy_328_full,legacy_328,328,full,486,2918,6489099,16,229.1450250148773,0.0886418212626677,0.1048546209780014,0.0850369131119684,0.0613413953051622,0.176954732510288,0.0821002636259568,,,
legacy_328_full__r32,legacy_328_full,legacy_328,328,full,486,2918,6489099,32,229.1450250148773,0.0879919761515449,0.1040916341439284,0.0844438970237121,0.0608121933392874,0.176954732510288,0.0814915958507436,,,
tuned_public_best__legacy_328_full__r8,legacy_328_full,legacy_328,328,full,486,2918,6489099,8,112.66575527191162,0.0876163326127865,0.1023884704011065,0.0857111674414152,0.0555766927520612,0.2016460905349794,0.0806368550892301,tuned_public_best,,
numeric_408_full__r8,numeric_408_full,numeric_408,408,full,486,2918,6489099,8,242.97588682174683,0.0837866492345764,0.1013105820706368,0.0776741564470188,0.0625845999065582,0.1934156378600823,0.0777124915327055,,,
tuned_public_best__legacy_328_full__r16,legacy_328_full,legacy_328,328,full,486,2918,6489099,16,112.66575527191162,0.0840769119762688,0.0972997378337727,0.0813124661431527,0.0540462318143927,0.1851851851851851,0.0772414421939587,tuned_public_best,,
numeric_408_full__r32,numeric_408_full,numeric_408,408,full,486,2918,6489099,32,242.97588682174683,0.0798961969647831,0.099499100480966,0.0710850073984847,0.0646798670933275,0.205761316872428,0.0742095741206024,,,
numeric_408_full__r16,numeric_408_full,numeric_408,408,full,486,2918,6489099,16,242.97588682174683,0.0795522296327034,0.0981605972106526,0.0710104863176938,0.0639469210574336,0.1934156378600823,0.0738686449231466,,,
