key,config,features,feature_count,window,train_start,train_stop,train_rows,rounds,training_seconds,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,selection_score,param_profile,train_stock_cap,num_threads
legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,8,51.65030288696289,0.0940177590150624,0.1148601188328396,0.0946220275247306,0.0529903935102891,0.2016460905349794,0.0859935664670082,,,
legacy_328_recent1702__r16,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,16,161.12150835990906,0.0943090214913019,0.1157275809716086,0.094732328089974,0.0520770049713636,0.1975308641975308,0.0859896101669159,,,
legacy_328_recent1702__r32,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,32,161.12150835990906,0.0933375834356061,0.1139310119415733,0.0919881252069326,0.0536153443150837,0.176954732510288,0.0849882981428996,,,
legacy_328_recent1945__r16,legacy_328_recent1945,legacy_328,328,1945,973,2918,5495753,16,184.5595707893372,0.0921830804414853,0.1123241477260147,0.091540796414513,0.0557704083042078,0.1893004115226337,0.0847078608059381,,,
legacy_328_recent1945__r8,legacy_328_recent1945,legacy_328,328,1945,973,2918,5495753,8,184.5595707893372,0.0914085031968241,0.1112124760410952,0.0897931316499491,0.059085825954829,0.1975308641975308,0.0844593562843626,,,
tuned_public_best_cap1200__legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,8,15.217489957809448,0.0911317583221192,0.107728803997276,0.0890049742319174,0.0566839569736709,0.1687242798353909,0.083604162825369,tuned_public_best,1200.0,30.0
legacy_328_recent1945__r32,legacy_328_recent1945,legacy_328,328,1945,973,2918,5495753,32,184.5595707893372,0.0903960168996695,0.1072464357117645,0.0874359010556471,0.0578367197636435,0.1934156378600823,0.0829961227192576,,,
legacy_328_recent2188__r8,legacy_328_recent2188,legacy_328,328,2188,730,2918,6025758,8,192.7830948829651,0.0891807372966753,0.1019024953920832,0.0849827034133702,0.0638858064020683,0.1810699588477366,0.0828623409527624,,,
tuned_public_best__legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,8,87.12301468849182,0.0905814771614461,0.108549034021538,0.0897007446869452,0.0528015441722172,0.1934156378600823,0.08276127082125,tuned_public_best,,
tuned_public_best_cap1200__legacy_328_recent1702__r16,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,16,15.217489957809448,0.0896567212083361,0.1063077302832891,0.0859303487520488,0.0583790913972485,0.176954732510288,0.0822832835092324,tuned_public_best,1200.0,30.0
legacy_328_recent2188__r16,legacy_328_recent2188,legacy_328,328,2188,730,2918,6025758,16,192.7830948829651,0.0880360174563613,0.0998036280879266,0.0828301248063277,0.0656058185658994,0.1687242798353909,0.0819882098832588,,,
legacy_328_recent2188__r32,legacy_328_recent2188,legacy_328,328,2188,730,2918,6025758,32,192.7830948829651,0.0877847692690236,0.098503318582666,0.0810279923780695,0.0675380768400927,0.1728395061728395,0.0817083977159512,,,
base_cap1200__legacy_328_recent1702__r16,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,16,31.317660093307495,0.08833968988399772,0.10773904053173004,0.08564925042910798,0.055160456537429625,0.18518518518518517,0.08089671137821719,base,1200.0,30.0
