recent_rounds,recent_weight,mean_rank_ic,fold_std,late_half_rank_ic,worst_quarter_rank_ic,mean_improvement,worst_fold_delta,late_mean_delta,positive_fold_count,qualified,selected
0,0.0,0.09266666666666667,0.0036817870057290905,0.09166666666666667,0.057999999999999996,0.0,0.0,0.0,0,False,False
8,0.05,0.09328333333333333,0.0037648225574240454,0.09216,0.058249999999999996,0.0006166666666666667,0.0004999999999999999,0.0004933333333333334,3,True,False
8,0.1,0.09358333333333334,0.003764822557424046,0.0924,0.058399999999999994,0.0009166666666666666,0.0007999999999999999,0.0007333333333333333,3,True,False
8,0.15,0.09388333333333333,0.00376482255742404,0.09264,0.05855,0.0012166666666666665,0.0010999999999999998,0.0009733333333333333,3,True,False
8,0.2,0.09358333333333334,0.003764822557424046,0.0924,0.058399999999999994,0.0009166666666666663,0.0007999999999999997,0.0007333333333333332,3,True,False
8,0.25,0.09328333333333333,0.0037648225574240454,0.09216,0.058249999999999996,0.0006166666666666665,0.0004999999999999998,0.0004933333333333333,3,True,False
8,0.35,0.09268333333333334,0.0037648225574240454,0.09168,0.057949999999999995,1.6666666666666667e-05,-0.0001,1.3333333333333335e-05,2,False,False
16,0.05,0.09338333333333333,0.00376482255742404,0.09223999999999999,0.0583,0.0007166666666666667,0.0006,0.0005733333333333334,3,True,False
16,0.1,0.09368333333333334,0.0037648225574240454,0.09248,0.058449999999999995,0.0010166666666666666,0.0009,0.0008133333333333334,3,True,False
16,0.15,0.09398333333333332,0.0037648225574240402,0.09271999999999998,0.0586,0.0013166666666666665,0.0012,0.0010533333333333334,3,True,True
16,0.2,0.09368333333333334,0.0037648225574240454,0.09248,0.058449999999999995,0.0010166666666666664,0.0008999999999999998,0.0008133333333333331,3,True,False
16,0.25,0.09338333333333333,0.00376482255742404,0.09223999999999999,0.0583,0.0007166666666666666,0.0005999999999999998,0.0005733333333333332,3,True,False
16,0.35,0.09278333333333333,0.0037648225574240454,0.09176,0.057999999999999996,0.00011666666666666668,0.0,9.333333333333334e-05,2,False,False
