expert_rounds,recent_weight,mean_rank_ic,fold_std,late_half_rank_ic,worst_quarter_rank_ic,mean_improvement,worst_fold_delta,late_mean_delta,positive_fold_count,plateau_span,qualified,selected
8,0.05,0.09806481753810502,0.01154254874562573,0.09500065090030015,0.054765808768953775,0.0004245690052973224,0.00021349127978687044,0.00036739952320163916,3,0.0014928617326991495,False,False
8,0.1,0.0984347664108902,0.011532868745727981,0.09531746308438875,0.05516102112177692,0.0007945178780825041,0.0003650105902043288,0.0006842117072902257,3,0.0019262767465478975,False,False
8,0.15,0.09876684973051975,0.011522155633837634,0.09558884263432414,0.05552342958832996,0.00112660119771206,0.0004998753027888603,0.0009555912572256076,3,0.0017977872565052427,False,False
8,0.2,0.09906024137779411,0.011494490120008,0.09581915558735231,0.05587914230476638,0.0014199928449864184,0.0006060311176095262,0.0011859042102537788,3,0.0016702439036667127,False,False
8,0.25,0.09931842060901902,0.011456510378899876,0.09601007718886961,0.05620908223208725,0.001678172076211339,0.0006841426831354636,0.0013768258117710837,3,0.0015738988114771119,False,False
8,0.3,0.09953752933603559,0.011411556520682563,0.09616306653407913,0.05654133574356644,0.001897280803227902,0.0007346315185427638,0.0015298151569806083,3,0.0011404837976283638,False,False
8,0.35,0.09971860604749198,0.011348564824675118,0.09626916642507209,0.056869307784574594,0.002078357514684284,0.0007481443353112016,0.0016359150479735667,3,0.0007318096369446636,False,False
16,0.05,0.0980740272053849,0.01154952616459464,0.09501207387564281,0.054791692480071916,0.0004337786725772119,0.00017051844244332648,0.00037882249854428546,3,0.001586329541507378,False,False
16,0.1,0.09845933058153249,0.011554326692498704,0.09534491424597742,0.055207261565828426,0.0008190820487247868,0.0002948392371998898,0.0007116628688788965,3,0.002062590346292803,False,False
16,0.15,0.0988134194733743,0.011555049055162686,0.09564642302901688,0.05561124806688171,0.0011731709405666212,0.00039201372444433447,0.0010131716519183598,3,0.001939222843277244,False,False
16,0.2,0.09913521664393211,0.011546747625481808,0.0959060552263329,0.05598598268850636,0.0014949681111244238,0.0004633921653770523,0.0012728038492343756,3,0.001839892432966006,False,False
16,0.25,0.0994184192227154,0.011532049016676609,0.09612521609414038,0.056340744184397926,0.0017781706899077099,0.0005067496751346712,0.0014919647170418503,3,0.001735628891516891,False,False
16,0.3,0.0996805807981791,0.011516308273123346,0.09632123310369001,0.056692539133596,0.0020403322653713973,0.0005336443276034025,0.0016879817265914726,3,0.001259368086731466,False,False
16,0.35,0.09989972321354997,0.011490756985484712,0.09646878973445583,0.05703480477267573,0.0022594746807422794,0.0005207884319820555,0.0018355383573573174,3,0.0008167201626517462,False,False
32,0.05,0.09823129802560009,0.011563489041387159,0.09516672970432309,0.0549866304398594,0.0005910494927923957,0.0003188531250254423,0.0005334783272245661,3,0.00209730369316323,False,False
32,0.1,0.09877364622772782,0.01158442968281527,0.09564437854498596,0.05559299309255435,0.0011333976949201297,0.0005745001848697223,0.0010111271678874267,3,0.0026947428280012647,False,False
32,0.15,0.09928547892760652,0.011601843781926946,0.09609755891676884,0.056197291702738024,0.0016452303947988207,0.0008021578395894791,0.001464307539670311,3,0.0025775852375901492,False,False
32,0.2,0.09976360704537722,0.01160404418510147,0.09650712369241686,0.05677755209726471,0.0021233585125695156,0.0010028212606318504,0.0018738723153183257,3,0.0025043318512513457,False,False
32,0.25,0.10021347567407705,0.011599591493197989,0.09688313580360332,0.05733202472573671,0.0025732271412693595,0.00118230402884284,0.0022498844265047974,3,0.0024286140195281386,False,False
32,0.3,0.10064230084438937,0.011588429275430717,0.09723856057571469,0.057901392179545264,0.003002052311581682,0.0013509311687184972,0.0026053091986161653,3,0.00179233222209646,False,False
32,0.35,0.10103047678879347,0.011563235659179643,0.09754646308465965,0.05845133721586369,0.0033902282559857833,0.001488812517583843,0.0029132117075611383,3,0.001176250334344764,False,False
