feature_config,feature_count,fold,rankic,delta_vs_full,runtime,fold_1_delta,fold_2_delta,mean_delta,worst_fold_delta,total_runtime
no_rank,308,fold_1,0.10598728467421983,-0.00604382004627553,0.1024014949798584,-0.00604382004627553,-0.006863282600965359,-0.006453551323620445,-0.006863282600965359,0.2057206630706787
no_short_lag,288,fold_1,0.10959850581741777,-0.002432598903077593,0.10626602172851562,-0.002432598903077593,-0.0010151181959239114,-0.0017238585495007522,-0.002432598903077593,0.21014094352722168
no_long_lag,288,fold_1,0.10884309475891495,-0.003188009961580418,0.10514378547668457,-0.003188009961580418,-0.003157354079896049,-0.0031726820207382336,-0.003188009961580418,0.21179413795471191
no_roll_mean,268,fold_1,0.10762682172954009,-0.004404282990955272,0.10381603240966797,-0.004404282990955272,1.3911600024257842e-05,-0.002195185695465507,-0.004404282990955272,0.20761537551879883
no_roll_std,268,fold_1,0.10499400115272135,-0.007037103567774011,0.10334944725036621,-0.007037103567774011,-0.0034134795289561953,-0.005225291548365103,-0.007037103567774011,0.20558404922485352
no_roll_change,268,fold_1,0.11099918591420826,-0.0010319188062870993,0.10022497177124023,-0.0010319188062870993,0.0017973091358085697,0.0003826951647607352,-0.0010319188062870993,0.20271706581115723
no_state,324,fold_1,0.11021673340066546,-0.0018143713198299077,0.10456013679504395,-0.0018143713198299077,-0.0034790825216659965,-0.002646726920747952,-0.0034790825216659965,0.20895648002624512
no_rank,308,fold_2,0.09025412920281053,-0.006863282600965359,0.10331916809082031,-0.00604382004627553,-0.006863282600965359,-0.006453551323620445,-0.006863282600965359,0.2057206630706787
no_short_lag,288,fold_2,0.09610229360785198,-0.0010151181959239114,0.10387492179870605,-0.002432598903077593,-0.0010151181959239114,-0.0017238585495007522,-0.002432598903077593,0.21014094352722168
no_long_lag,288,fold_2,0.09396005772387984,-0.003157354079896049,0.10665035247802734,-0.003188009961580418,-0.003157354079896049,-0.0031726820207382336,-0.003188009961580418,0.21179413795471191
no_roll_mean,268,fold_2,0.09713132340380015,1.3911600024257842e-05,0.10379934310913086,-0.004404282990955272,1.3911600024257842e-05,-0.002195185695465507,-0.004404282990955272,0.20761537551879883
no_roll_std,268,fold_2,0.0937039322748197,-0.0034134795289561953,0.1022346019744873,-0.007037103567774011,-0.0034134795289561953,-0.005225291548365103,-0.007037103567774011,0.20558404922485352
no_roll_change,268,fold_2,0.09891472093958446,0.0017973091358085697,0.10249209403991699,-0.0010319188062870993,0.0017973091358085697,0.0003826951647607352,-0.0010319188062870993,0.20271706581115723
no_state,324,fold_2,0.0936383292821099,-0.0034790825216659965,0.10439634323120117,-0.0018143713198299077,-0.0034790825216659965,-0.002646726920747952,-0.0034790825216659965,0.20895648002624512
