animal,fold,weight,blend_delta,incumbent_delta_030
lgbm_xendcg,fold_1,0.25,-0.003440878022356944,0.001073452085453827
lgbm_xendcg,fold_1,0.3,-0.004738844747468621,0.001073452085453827
lgbm_xendcg,fold_1,0.35,-0.006244710931230857,0.001073452085453827
lgbm_xendcg,fold_2,0.25,-0.00124199387715139,0.0009711125404290311
lgbm_xendcg,fold_2,0.3,-0.0018734666699777164,0.0009711125404290311
lgbm_xendcg,fold_2,0.35,-0.0026308058309088,0.0009711125404290311
lgbm_cat337,fold_1,0.25,0.0010094796536269657,0.001073452085453827
lgbm_cat337,fold_1,0.3,0.001045313371790868,0.001073452085453827
lgbm_cat337,fold_1,0.35,0.0010149508983985506,0.001073452085453827
lgbm_cat337,fold_2,0.25,0.0012907077113983867,0.0009711125404290311
lgbm_cat337,fold_2,0.3,0.0014536029447478477,0.0009711125404290311
lgbm_cat337,fold_2,0.35,0.0015995337874224747,0.0009711125404290311
catboost_yetirank,fold_1,0.25,0.005749625862156854,0.001073452085453827
catboost_yetirank,fold_1,0.3,0.0067404991788316965,0.001073452085453827
catboost_yetirank,fold_1,0.35,0.0076763479493374,0.001073452085453827
catboost_yetirank,fold_2,0.25,0.005464783864572442,0.0009711125404290311
catboost_yetirank,fold_2,0.3,0.006430202142562999,0.0009711125404290311
catboost_yetirank,fold_2,0.35,0.007348515534185085,0.0009711125404290311
