stage,seed,epoch,train_loss,selection_metric,best_metric,lr,improved,primary_precision,fp32_retries
early,42,1,2.001743738798751,0.14242833637731114,0.14242833637731114,0.000125,True,bf16,0
early,42,2,1.9926146066065915,0.14280072651637896,0.14280072651637896,0.0005,True,bf16,0
early,42,3,1.9880516615110575,0.14317121685014939,0.14317121685014939,0.0004979043378581745,True,bf16,0
early,42,4,1.9850746221149091,0.14328066621653432,0.14328066621653432,0.0004916563896532549,True,bf16,0
early,42,5,1.9822509460842486,0.14364666614992747,0.14364666614992747,0.00048137254283872697,True,bf16,0
early,42,6,1.9792153583359473,0.144136730291458,0.144136730291458,0.00046724436602295995,True,bf16,0
early,42,7,1.9760445927836232,0.14434439372369448,0.14434439372369448,0.00044953504040849446,True,bf16,0
early,42,8,1.973365999988674,0.14442581603919516,0.14442581603919516,0.0004285744572241972,True,bf16,0
early,42,9,1.9705175689815246,0.14451792911743988,0.14451792911743988,0.0004047530724758451,True,bf16,0
early,42,10,1.9681804843784607,0.14473798932250848,0.14473798932250848,0.00037851463348950926,True,bf16,0
early,42,11,1.9656664501760424,0.14502205011343627,0.14502205011343627,0.00035034791273847186,True,bf16,0
early,42,12,1.9629792810715352,0.1453888975337319,0.1453888975337319,0.00032077760293684266,True,bf16,0
early,42,13,1.9601624177903245,0.1457396975614409,0.1457396975614409,0.000290354543007051,True,bf16,0
early,42,14,1.957111481538753,0.14598565824869794,0.14598565824869794,0.00025964545699294904,True,bf16,0
early,42,15,1.9538789158014906,0.14616468499387603,0.14616468499387603,0.00022922239706315745,True,bf16,0
early,42,16,1.9506506004284339,0.1462902125260972,0.1462902125260972,0.00019965208726152811,True,bf16,0
early,42,17,1.9475507207752503,0.1464520998163317,0.1464520998163317,0.0001714853665104908,True,bf16,0
early,42,18,1.944669988351999,0.14669078981983602,0.14669078981983602,0.00014524692752415492,True,bf16,0
early,42,19,1.9420586590914382,0.14693624052111076,0.14693624052111076,0.00012142554277580288,True,bf16,0
early,42,20,1.9397584064719604,0.1471257063191327,0.1471257063191327,0.00010046495959150553,True,bf16,0
early,42,21,1.9378521374820434,0.14726670960034124,0.14726670960034124,8.275563397704009e-05,True,bf16,0
early,42,22,1.9364230491451382,0.14733587883521512,0.14733587883521512,6.862745716127313e-05,True,bf16,0
early,42,23,1.9352907249607991,0.14738479863094092,0.14738479863094092,5.83436103467452e-05,True,bf16,0
early,42,24,1.934158663774274,0.14738273808488012,0.14738479863094092,5.209566214182558e-05,False,bf16,0
early,42,25,1.933004739358253,0.1473716577229293,0.14738479863094092,5e-05,False,bf16,0
early,2026,1,2.005809949230902,0.14212874396640746,0.14212874396640746,0.000125,True,bf16,0
early,2026,2,1.993214990060354,0.14264276328442604,0.14264276328442604,0.0005,True,bf16,0
early,2026,3,1.988277124375412,0.14306437916778866,0.14306437916778866,0.0004979043378581745,True,bf16,0
early,2026,4,1.9846839388621222,0.14339160020587816,0.14339160020587816,0.0004916563896532549,True,bf16,0
early,2026,5,1.9821145743438877,0.14376100666348485,0.14376100666348485,0.00048137254283872697,True,bf16,0
early,2026,6,1.979015100862562,0.1439292831412949,0.1439292831412949,0.00046724436602295995,True,bf16,0
early,2026,7,1.9755923827898871,0.14415569296299588,0.14415569296299588,0.00044953504040849446,True,bf16,0
early,2026,8,1.9726993337119978,0.14438063270642412,0.14438063270642412,0.0004285744572241972,True,bf16,0
early,2026,9,1.9699148105591844,0.14473300127400462,0.14473300127400462,0.0004047530724758451,True,bf16,0
early,2026,10,1.9662122105814748,0.1448046111994363,0.1448046111994363,0.00037851463348950926,True,bf16,0
