alpha,eligible,rankic,delta
-0.2,False,0.09029614237982238,-0.007709397895741543
-0.1,False,0.09414117498259708,-0.00386436529296684
-0.05,False,0.09610220973253991,-0.0019033305430240094
0.0,True,0.09800554027556392,0.0
0.01,True,0.0983657487497322,0.00036020847416827484
0.02,True,0.09871195093436605,0.0007064106588021285
0.03,True,0.09905455695008762,0.0010490166745237006
0.05,True,0.09971629307657912,0.0017107528010151946
0.075,True,0.10050406517586051,0.0024985249002965892
0.1,True,0.10125680913192818,0.003251268856364259
0.15,True,0.10266138589123888,0.004655845615674961
0.2,True,0.10394612751121411,0.005940587235650191
0.3,True,0.10612032276700308,0.008114782491439154
0.5,True,0.10827831594042156,0.010272775664857639
