time,rank_ic
2918,0.1724637804
2919,0.1474073578
2920,0.2254727368
2921,0.2532247807
2922,0.2335848339
2923,0.1831035693
2924,0.2530087917
2925,0.1237090901
2926,0.0441620053
2927,0.0133417527
2928,0.0518023022
2929,0.0940795599
2930,0.1497508853
2931,0.2219861298
2932,0.2458770880
2933,0.2358775603
2934,0.1186811393
2935,0.1348262635
2936,0.1209880695
2937,0.1952644938
2938,0.1505846484
2939,0.1769049619
2940,0.1122238399
2941,0.1325399414
2942,-0.0898022410
2943,0.0139514996
2944,0.0025575221
2945,0.0436564477
2946,0.1673246557
2947,0.2062369989
2948,0.1867452462
2949,0.1359685028
2950,0.1108421864
2951,0.1287914393
2952,0.1210213894
2953,0.2017738090
2954,0.2125489360
2955,0.1840535238
2956,0.0909552658
2957,0.0686466896
2958,-0.0289748326
2959,-0.0274278625
2960,0.0481166891
2961,0.1279227505
2962,0.0797797841
2963,0.1024384697
2964,0.1288234028
2965,0.1718599687
2966,0.1615525015
2967,0.1484709676
2968,0.1243611122
2969,0.0695550702
2970,0.0743958617
2971,0.0940991757
2972,0.1266149838
2973,0.0827682515
2974,0.0649102216
2975,0.0384388166
2976,0.0627069037
2977,0.1216412538
2978,0.1462624140
2979,0.1590614879
2980,0.1870442646
2981,0.1821796367
2982,0.1572654251
2983,0.1740313740
2984,0.1682987841
2985,0.1351242502
2986,0.1369334750
2987,0.1804030210
2988,0.1545948907
2989,0.1742746506
2990,0.1531710112
2991,0.0959763658
2992,0.0515095831
2993,-0.0060974747
2994,-0.0411155051
2995,-0.1018307995
2996,-0.1336429681
2997,-0.0948377152
2998,0.0304795663
2999,0.0762424685
3000,0.0360133522
3001,0.1070969049
3002,0.0708021275
3003,-0.0222640846
3004,0.0493627368
3005,0.0753797792
3006,0.0165212044
3007,0.0313398637
3008,0.0379291193
3009,-0.0530137216
3010,-0.0170051635
3011,0.0616084313
3012,0.1159132282
3013,0.1166724220
3014,0.1371081252
3015,0.1913977658
3016,0.1370258667
3017,0.1157561769
3018,0.1137065864
3019,0.1246345352
3020,0.1068133386
3021,0.0463265086
3022,-0.0376242278
3023,-0.0069401968
3024,-0.0647662506
3025,-0.0333312733
3026,0.0959790985
3027,0.1489269247
3028,0.1454228233
3029,0.1401807179
3030,0.1581891381
3031,0.1842432824
3032,0.1279399952
3033,0.0539793960
3034,0.0991030125
3035,-0.0240096233
3036,-0.0886211493
3037,-0.0262654464
3038,-0.0548104260
3039,-0.0893420650
3040,0.0301908613
3041,-0.0022835496
3042,0.0192958651
3043,0.0436819818
3044,-0.0568266973
3045,-0.1690069346
3046,-0.1285320404
3047,-0.0988534583
3048,-0.1079832890
3049,0.0990155279
3050,0.0951320294
3051,0.0076132612
3052,-0.0252587645
3053,0.0377259082
3054,-0.0953056513
3055,-0.0169978110
3056,0.0895574678
3057,0.1993519023
3058,0.0662921133
3059,0.0833206250
3060,0.0577010868
3061,0.0931425309
3062,0.0788493486
3063,0.1754643750
3064,0.1686979513
3065,0.2724526273
3066,0.2422815230
3067,0.1518738481
3068,0.0398541128
3069,0.0483874778
3070,-0.0116256012
3071,0.1051533716
3072,0.0220273801
3073,0.0163172377
3074,0.0378030019
3075,0.1026604659
3076,0.0345604861
3077,0.2136654552
3078,0.1963884744
3079,0.1598403688
3080,0.1077989609
3081,0.1689175700
3082,0.0192736571
3083,0.0638737400
3084,0.0547073531
3085,-0.0297804089
3086,0.0192643048
3087,0.0502595936
3088,0.0277423802
3089,0.0956121546
3090,0.2132997195
3091,0.1914765158
3092,0.2017013875
3093,0.2278075901
3094,0.2492294031
3095,0.3080409180
3096,0.3261360025
3097,0.3004708672
3098,0.2640370252
3099,0.2218918166
3100,0.1208247773
3101,0.0134484869
3102,-0.1076814942
3103,-0.1524508366
3104,-0.1099630332
3105,-0.0992214706
3106,-0.1099459468
3107,-0.0490834006
3108,0.0207598122
3109,0.0479762316
3110,0.0677523241
3111,0.0866739614
3112,0.0958628343
3113,0.0439528791
3114,0.0035338528
3115,0.0370091124
3116,0.0150388898
3117,0.0269336452
3118,0.0955558786
3119,0.0757619749
3120,0.0413042603
3121,0.0796384166
3122,0.1355229717
3123,0.0776628869
3124,0.0839738838
3125,0.0344680525
3126,-0.0862773258
3127,-0.0494246658
3128,-0.0190564029
3129,-0.0018758752
3130,0.0183199192
3131,-0.0020470801
3132,0.0888884832
3133,0.1249353507
3134,0.2003787517
3135,0.2283898150
3136,0.3169393108
3137,0.2121651138
3138,0.1680980322
3139,0.1216894415
3140,0.1428181391
3141,0.0367998628
3142,0.0807002134
3143,0.0796169754
3144,0.0593644524
3145,0.1096728578
3146,0.1553919563
3147,0.1636219347
3148,0.1829978360
3149,0.1934286112
3150,0.2335944240
3151,0.2401185099
3152,0.2410243872
3153,0.2571711670
3154,0.2401208444
3155,0.1824785337
3156,0.1213972879
3157,0.1307052110
3158,0.0826986318
3159,0.1612303851
3160,0.1979699340
