window,time,method,min_library_time,max_library_time,library_cutoff_exclusive,mean_neighbor_distance,fingerprint_std
fold_1,1459,retrieval,1135,1458,1459,3.4058914184570312,0.0834793895483017
fold_1,1459,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1459,random,502,1443,1459,nan,0.08714628219604492
fold_1,1460,retrieval,541,1452,1459,3.875023126602173,0.07515623420476913
fold_1,1460,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1460,random,495,1450,1459,nan,0.08486498892307281
fold_1,1461,retrieval,542,1454,1459,4.494307518005371,0.08629266172647476
fold_1,1461,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1461,random,489,1446,1459,nan,0.08394524455070496
fold_1,1462,retrieval,486,1451,1459,2.849575996398926,0.07788460701704025
fold_1,1462,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1462,random,528,1351,1459,nan,0.07050459086894989
fold_1,1463,retrieval,976,1422,1459,2.6801955699920654,0.07625731825828552
fold_1,1463,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1463,random,496,1428,1459,nan,0.08569293469190598
fold_1,1464,retrieval,794,1452,1459,2.8743176460266113,0.08481018990278244
fold_1,1464,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1464,random,493,1436,1459,nan,0.07598043978214264
fold_1,1465,retrieval,984,1452,1459,2.9666361808776855,0.07611207664012909
fold_1,1465,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1465,random,505,1398,1459,nan,0.08186181634664536
fold_1,1466,retrieval,582,1457,1459,9.899932861328125,0.09570273756980896
fold_1,1466,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1466,random,493,1417,1459,nan,0.06962656229734421
fold_1,1467,retrieval,486,1458,1459,5.7273759841918945,0.0978020578622818
fold_1,1467,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1467,random,495,1426,1459,nan,0.08120501786470413
fold_1,1468,retrieval,688,1452,1459,3.8463478088378906,0.07847931236028671
fold_1,1468,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1468,random,489,1437,1459,nan,0.08769955486059189
fold_1,1469,retrieval,980,1458,1459,3.3224167823791504,0.07930213958024979
fold_1,1469,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1469,random,499,1426,1459,nan,0.07366254180669785
fold_1,1470,retrieval,1140,1458,1459,3.051987648010254,0.07462450116872787
fold_1,1470,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1470,random,528,1456,1459,nan,0.08142808079719543
fold_1,1471,retrieval,510,1458,1459,3.4092509746551514,0.07747004926204681
fold_1,1471,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1471,random,492,1448,1459,nan,0.08591479063034058
fold_1,1472,retrieval,981,1458,1459,3.8525590896606445,0.07557611912488937
fold_1,1472,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1472,random,533,1427,1459,nan,0.07776577770709991
fold_1,1473,retrieval,1128,1458,1459,3.2991435527801514,0.07958833873271942
fold_1,1473,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1473,random,549,1410,1459,nan,0.08730565756559372
fold_1,1474,retrieval,530,1458,1459,3.944766044616699,0.08798913657665253
fold_1,1474,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1474,random,487,1445,1459,nan,0.08324600011110306
fold_1,1475,retrieval,542,1430,1459,3.4466309547424316,0.06925620883703232
fold_1,1475,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1475,random,497,1414,1459,nan,0.06983260810375214
fold_1,1476,retrieval,496,1457,1459,5.863608360290527,0.09469204396009445
fold_1,1476,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1476,random,562,1448,1459,nan,0.08420947194099426
fold_1,1477,retrieval,486,1451,1459,2.953193187713623,0.07705371081829071
fold_1,1477,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1477,random,572,1451,1459,nan,0.0949932187795639
fold_1,1478,retrieval,984,1430,1459,2.6117711067199707,0.06945746392011642
fold_1,1478,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1478,random,520,1452,1459,nan,0.07788855582475662
fold_1,1479,retrieval,1129,1458,1459,4.188584804534912,0.08409115672111511
fold_1,1479,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1479,random,492,1427,1459,nan,0.06998372822999954
fold_1,1480,retrieval,541,1454,1459,3.591458320617676,0.07191736996173859
fold_1,1480,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1480,random,508,1456,1459,nan,0.07681496441364288
fold_1,1481,retrieval,803,1452,1459,3.2448787689208984,0.09120984375476837
fold_1,1481,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1481,random,499,1455,1459,nan,0.07819981127977371
fold_1,1482,retrieval,504,1420,1459,2.816283702850342,0.08095698058605194
fold_1,1482,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1482,random,491,1444,1459,nan,0.07832779735326767
fold_1,1483,retrieval,794,1427,1459,2.5180935859680176,0.0787566602230072
fold_1,1483,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1483,random,516,1452,1459,nan,0.08710240572690964
fold_1,1484,retrieval,984,1429,1459,2.5559134483337402,0.07192253321409225
fold_1,1484,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1484,random,510,1448,1459,nan,0.08438149839639664
fold_1,1485,retrieval,980,1434,1459,3.0782244205474854,0.06768256425857544
fold_1,1485,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1485,random,538,1429,1459,nan,0.07939743250608444
fold_1,1486,retrieval,1011,1429,1459,2.8810315132141113,0.0628410130739212
fold_1,1486,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1486,random,535,1438,1459,nan,0.077664315700531
fold_1,1487,retrieval,980,1429,1459,2.7524805068969727,0.06793668866157532
fold_1,1487,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1487,random,526,1435,1459,nan,0.08186562359333038
fold_1,1488,retrieval,1059,1452,1459,3.097040891647339,0.07183970510959625
fold_1,1488,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1488,random,501,1403,1459,nan,0.0790373831987381
fold_1,1489,retrieval,540,1434,1459,2.8401646614074707,0.06527639925479889
fold_1,1489,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1489,random,487,1430,1459,nan,0.08666453510522842
fold_1,1490,retrieval,1350,1434,1459,2.59592866897583,0.06449661403894424
fold_1,1490,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1490,random,506,1441,1459,nan,0.07853693515062332
fold_1,1491,retrieval,1136,1456,1459,4.641510009765625,0.08127902448177338
fold_1,1491,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1491,random,501,1415,1459,nan,0.0796152725815773
fold_1,1492,retrieval,1136,1458,1459,4.028646945953369,0.08451996743679047
fold_1,1492,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1492,random,514,1456,1459,nan,0.08746757358312607
fold_1,1493,retrieval,980,1458,1459,3.45292592048645,0.07940671592950821
fold_1,1493,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1493,random,488,1409,1459,nan,0.080523282289505
fold_1,1494,retrieval,1139,1458,1459,3.6646578311920166,0.09173579514026642
fold_1,1494,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1494,random,498,1435,1459,nan,0.07695630937814713
fold_1,1495,retrieval,1152,1458,1459,3.495143413543701,0.08737389743328094
fold_1,1495,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1495,random,510,1442,1459,nan,0.08313155174255371
fold_1,1496,retrieval,530,1458,1459,4.338052749633789,0.09632612019777298
fold_1,1496,recent,1427,1458,1459,nan,0.0938834473490715
fold_1,1496,random,517,1453,1459,nan,0.07687731087207794
fold_1,1497,retrieval,980,1452,1459,3.298124313354492,0.07552840560674667
fold_1,1497,recent,1427,1458,1459,nan,0.0938834473490715
