window,repetition,mean_delta_vs_baseline
fold_1,0,0.0036227066192060843
fold_1,1,0.0035552881485060423
fold_1,2,0.003626047063576557
fold_1,3,0.0034421950538790647
fold_1,4,0.003528976513941201
fold_1,5,0.0033229286216929286
fold_1,6,0.003521068494945575
fold_1,7,0.0035602716887483186
fold_1,8,0.0034516737002754407
fold_1,9,0.003490180028261906
fold_1,10,0.0036169240669504336
fold_1,11,0.003360158594825784
fold_1,12,0.003657011869055141
fold_1,13,0.0036503065178273507
fold_1,14,0.0032190070124936813
fold_1,15,0.003579602056196071
fold_1,16,0.0036446522874119267
fold_1,17,0.0037186076612624255
fold_1,18,0.003366440120230589
fold_1,19,0.0036111609799581172
fold_1,20,0.003438268972614425
fold_1,21,0.003351834067838781
fold_1,22,0.0035090150074366714
fold_1,23,0.003476685302938085
fold_1,24,0.003310847248079005
fold_1,25,0.003821332778557946
fold_1,26,0.0036682938767694006
fold_1,27,0.00348744921353034
fold_1,28,0.0036994074874337484
fold_1,29,0.003613992967796052
fold_1,30,0.003611432648935329
fold_1,31,0.0035338078495536535
fold_2,0,-0.0025703822396631127
fold_2,1,-0.002188075440507994
fold_2,2,-0.002168695614626034
fold_2,3,-0.002348144824703299
fold_2,4,-0.002384060754450285
fold_2,5,-0.002386815809918973
fold_2,6,-0.002427636953590605
fold_2,7,-0.0024424202645710108
fold_2,8,-0.0024264654449856265
fold_2,9,-0.002365261318268644
fold_2,10,-0.002669809732070774
fold_2,11,-0.0021816739652996404
fold_2,12,-0.0022312867157694154
fold_2,13,-0.0023944760879956208
fold_2,14,-0.002386368212709877
fold_2,15,-0.0023438816903972918
fold_2,16,-0.002549420543041193
fold_2,17,-0.002530479047788186
fold_2,18,-0.0023161912470708525
fold_2,19,-0.0024674906409271895
fold_2,20,-0.0024637318648327044
fold_2,21,-0.0024497272742935857
fold_2,22,-0.00253956737910089
fold_2,23,-0.0024699033772546328
fold_2,24,-0.0022827205212841125
fold_2,25,-0.002472241419335732
fold_2,26,-0.0022412711865197805
fold_2,27,-0.002342208391282404
fold_2,28,-0.0025000141048347655
fold_2,29,-0.0024727059342799494
fold_2,30,-0.002501701616816974
fold_2,31,-0.0023385355118324173
fold_3,0,-0.0013309168542118318
fold_3,1,-0.0012335822553520496
fold_3,2,-0.0013958579485797917
fold_3,3,-0.0013448296573655926
fold_3,4,-0.0014374584039920644
fold_3,5,-0.00135188563496883
fold_3,6,-0.0013908832410669757
fold_3,7,-0.0012521665935798893
fold_3,8,-0.0012869313365725045
fold_3,9,-0.0013076126609039677
fold_3,10,-0.0013371900583060464
fold_3,11,-0.0012454024010595803
fold_3,12,-0.0013935301687086556
fold_3,13,-0.0013624903852443575
fold_3,14,-0.0013349203612791607
fold_3,15,-0.001365770541025647
fold_3,16,-0.001317304956500266
fold_3,17,-0.001290068797875463
fold_3,18,-0.0014313216916658016
fold_3,19,-0.0014371104149259598
fold_3,20,-0.0014179869573358404
fold_3,21,-0.001420315860315861
fold_3,22,-0.001475829621939775
fold_3,23,-0.0012595474180862889
fold_3,24,-0.001343374555016071
fold_3,25,-0.0011451347213544236
fold_3,26,-0.00140058351890658
fold_3,27,-0.0012341872917324076
fold_3,28,-0.0013963230545911897
fold_3,29,-0.0012775457832665147
fold_3,30,-0.0013122032424263813
fold_3,31,-0.0013300585175512864
official_valid,0,0.0013172064398082725
official_valid,1,0.0014633576130248
official_valid,2,0.0014668415411923552
official_valid,3,0.0015921845883265697
official_valid,4,0.0017995441942552375
official_valid,5,0.001781948225317577
official_valid,6,0.0016299784692421252
official_valid,7,0.0017183457844223418
official_valid,8,0.0018458963525832864
official_valid,9,0.0013956974246045301
official_valid,10,0.0016880064124381764
official_valid,11,0.0017235864425267165
official_valid,12,0.001428004347170363
official_valid,13,0.0019025583886068808
official_valid,14,0.0016890737839357567
official_valid,15,0.0015374074087647015
official_valid,16,0.0012876632849751306
official_valid,17,0.0012400922456974402
official_valid,18,0.001486686252467058
official_valid,19,0.001954915152269462
official_valid,20,0.0014356218803984716
official_valid,21,0.0014780979098175967
official_valid,22,0.00172916651842103
official_valid,23,0.0016414606118498264
official_valid,24,0.0014194645006254953
official_valid,25,0.0015732731125580374
official_valid,26,0.0016086926963919837
official_valid,27,0.001485112144520617
official_valid,28,0.0014436251463503843
official_valid,29,0.001637804787633537
official_valid,30,0.0016633057090430785
official_valid,31,0.001836008158066987
