window,repetition,mean_delta_vs_baseline
fold_2,0,-0.011326987678936805
fold_2,1,-0.010418357140773306
fold_2,2,-0.011551712683599707
fold_2,3,-0.009720210397481756
fold_2,4,-0.01022738137923156
fold_2,5,-0.010777518303182288
fold_2,6,-0.010973353062730246
fold_2,7,-0.010469146840127962
fold_2,8,-0.010083903315802719
fold_2,9,-0.011227857899066296
fold_2,10,-0.009245941358851841
fold_2,11,-0.010508001855578633
fold_2,12,-0.009999390377494461
fold_2,13,-0.009985536737559116
fold_2,14,-0.010362650992463472
fold_2,15,-0.01004231984596466
fold_2,16,-0.009456881923843797
fold_2,17,-0.010185284648722431
fold_2,18,-0.011212244790927991
fold_2,19,-0.010084342583791489
fold_2,20,-0.008367640456648244
fold_2,21,-0.009861023218377169
fold_2,22,-0.009748693352206591
fold_2,23,-0.011160507943508239
fold_2,24,-0.009950558302245668
fold_2,25,-0.010688810357903315
fold_2,26,-0.008651132868247488
fold_2,27,-0.009824529515416633
fold_2,28,-0.011016942228479211
fold_2,29,-0.010551132615340832
fold_2,30,-0.008145182841691318
fold_2,31,-0.009686589527857928
fold_3,0,-0.007623204256051029
fold_3,1,-0.009807565696727551
fold_3,2,-0.00874391946800427
fold_3,3,-0.007724698135690931
fold_3,4,-0.006872149853692981
fold_3,5,-0.008317781614371286
fold_3,6,-0.006562155942614607
fold_3,7,-0.007325005853330471
fold_3,8,-0.006788932506952935
fold_3,9,-0.009282988086037629
fold_3,10,-0.004817203542574057
fold_3,11,-0.008361317718882641
fold_3,12,-0.008920545943706344
fold_3,13,-0.00811038078639602
fold_3,14,-0.007497548834986461
fold_3,15,-0.00868809122927203
fold_3,16,-0.007850059501025809
fold_3,17,-0.007430349287549426
fold_3,18,-0.007288942984779114
fold_3,19,-0.006222372270607333
fold_3,20,-0.008696796842567776
fold_3,21,-0.006411512614042907
fold_3,22,-0.006832560313382203
fold_3,23,-0.008284502497030347
fold_3,24,-0.008254710767504189
fold_3,25,-0.007821825340521501
fold_3,26,-0.007060809235622136
fold_3,27,-0.00607235957754739
fold_3,28,-0.008099528168966457
fold_3,29,-0.006001360014336235
fold_3,30,-0.008322952934522454
fold_3,31,-0.00824496074627527
official_valid,0,-0.006977130430560699
official_valid,1,-0.0076654957126536995
official_valid,2,-0.005110588180290424
official_valid,3,-0.007410884220141485
official_valid,4,-0.006616395419147538
official_valid,5,-0.0077600952451818
official_valid,6,-0.006595297248347257
official_valid,7,-0.007342973824209028
official_valid,8,-0.00671410995859036
official_valid,9,-0.006526041026807025
official_valid,10,-0.006712919148381408
official_valid,11,-0.007001856523202521
official_valid,12,-0.006699672559815502
official_valid,13,-0.007970376454659943
official_valid,14,-0.007360109035641487
official_valid,15,-0.0074098264841052485
official_valid,16,-0.006233940304061927
official_valid,17,-0.006859550558703057
official_valid,18,-0.008093892983457765
official_valid,19,-0.007271271870714021
official_valid,20,-0.007933943269326064
official_valid,21,-0.0075393038926505765
official_valid,22,-0.007525752158205483
official_valid,23,-0.008381370930658718
official_valid,24,-0.00723321609497623
official_valid,25,-0.008196673725623334
official_valid,26,-0.007355154482770847
official_valid,27,-0.0073958484614584
official_valid,28,-0.008752853320340344
official_valid,29,-0.006469358508926294
official_valid,30,-0.005833078968964676
official_valid,31,-0.006658766679006996
