window,time,baseline,method,alpha,history_w,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline,history_sections
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.05,10,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.05,10,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.05,20,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.05,20,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.05,40,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.05,40,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.1,10,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.1,10,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.1,20,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.1,20,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.1,40,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.1,40,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.15,10,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.15,10,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.15,20,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,shuffled,0.15,20,0.13392218305935608,0.13392218305935608,0.0,1.0,0
fold_1,1459,exp016_static_strict_oof_proxy,momentum,0.15,40,0.13392218305935608,0.13392218305935608,0.0,1.0,0
