window,time,baseline,method,alpha,history_w,distance_from_snapshot,baseline_ic,candidate_ic,delta,rank_correlation_to_baseline
fold_2,1945,exp016_static_strict_oof_proxy,momentum,0.05,10,0,0.1475383320119236,0.14215245318847486,-0.0053858788234487365,0.9986520823461921
fold_2,1945,exp016_static_strict_oof_proxy,momentum,0.1,10,0,0.1475383320119236,0.13586780321369218,-0.011670528798231411,0.9940174546228276
fold_2,1945,exp016_static_strict_oof_proxy,momentum,0.15,10,0,0.1475383320119236,0.12724864986993628,-0.020289682141987314,0.9847515427040774
fold_2,1945,exp016_static_strict_oof_proxy,shuffled,0.05,10,0,0.1475383320119236,0.14796470809357085,0.0004263760816472506,0.9986685948630137
fold_2,1945,exp016_static_strict_oof_proxy,shuffled,0.1,10,0,0.1475383320119236,0.14807035967490495,0.0005320276629813547,0.9941760684360961
fold_2,1945,exp016_static_strict_oof_proxy,shuffled,0.15,10,0,0.1475383320119236,0.14855833283816303,0.0010200008262394311,0.985702319759587
fold_2,1946,exp016_static_strict_oof_proxy,momentum,0.05,10,1,0.13037022506445306,0.12201824333491541,-0.008351981729537647,0.9986071076930729
fold_2,1946,exp016_static_strict_oof_proxy,momentum,0.1,10,1,0.13037022506445306,0.11212225816048695,-0.018247966903966115,0.9939354319246507
fold_2,1946,exp016_static_strict_oof_proxy,momentum,0.15,10,1,0.13037022506445306,0.10039856181500487,-0.029971663249448194,0.9848068014904954
fold_2,1946,exp016_static_strict_oof_proxy,shuffled,0.05,10,1,0.13037022506445306,0.13021982802067758,-0.0001503970437754798,0.9986513028919186
fold_2,1946,exp016_static_strict_oof_proxy,shuffled,0.1,10,1,0.13037022506445306,0.13048140044742462,0.00011117538297156226,0.994058291607545
fold_2,1946,exp016_static_strict_oof_proxy,shuffled,0.15,10,1,0.13037022506445306,0.12983528396864716,-0.000534941095805902,0.9854167980347953
fold_2,1947,exp016_static_strict_oof_proxy,momentum,0.05,10,2,0.14590852736143636,0.13199719346678285,-0.013911333894653516,0.9986514509522885
fold_2,1947,exp016_static_strict_oof_proxy,momentum,0.1,10,2,0.14590852736143636,0.11617144680683075,-0.02973708055460561,0.9940565535671387
fold_2,1947,exp016_static_strict_oof_proxy,momentum,0.15,10,2,0.14590852736143636,0.09690125343365702,-0.04900727392777934,0.9848613461213169
fold_2,1947,exp016_static_strict_oof_proxy,shuffled,0.05,10,2,0.14590852736143636,0.14770289555060181,0.0017943681891654517,0.998661648922123
fold_2,1947,exp016_static_strict_oof_proxy,shuffled,0.1,10,2,0.14590852736143636,0.14955841027468858,0.003649882913252217,0.9942093729051122
fold_2,1947,exp016_static_strict_oof_proxy,shuffled,0.15,10,2,0.14590852736143636,0.15207494336173524,0.00616641600029888,0.9857790729801421
fold_2,1948,exp016_static_strict_oof_proxy,momentum,0.05,10,3,0.16560647809334064,0.1481733170977351,-0.017433160995605546,0.9986577037221949
fold_2,1948,exp016_static_strict_oof_proxy,momentum,0.1,10,3,0.16560647809334064,0.12794570376842573,-0.03766077432491491,0.9939685601812452
fold_2,1948,exp016_static_strict_oof_proxy,momentum,0.15,10,3,0.16560647809334064,0.10442317936405256,-0.061183298729288085,0.9851301475719273
fold_2,1948,exp016_static_strict_oof_proxy,shuffled,0.05,10,3,0.16560647809334064,0.16557135913186347,-3.51189614771763e-05,0.9986603888851666
fold_2,1948,exp016_static_strict_oof_proxy,shuffled,0.1,10,3,0.16560647809334064,0.1650454025217764,-0.0005610755715642346,0.9941514760185499
fold_2,1948,exp016_static_strict_oof_proxy,shuffled,0.15,10,3,0.16560647809334064,0.16409065051215238,-0.0015158275811882616,0.9855603013494141
fold_2,1949,exp016_static_strict_oof_proxy,momentum,0.05,10,4,-0.02989279214216606,-0.04632018345010504,-0.016427391307938976,0.9986175795611183
fold_2,1949,exp016_static_strict_oof_proxy,momentum,0.1,10,4,-0.02989279214216606,-0.06464601920525546,-0.034753227063089406,0.9939187967677833
fold_2,1949,exp016_static_strict_oof_proxy,momentum,0.15,10,4,-0.02989279214216606,-0.08496990451021594,-0.05507711236804988,0.9849150622001444
fold_2,1949,exp016_static_strict_oof_proxy,shuffled,0.05,10,4,-0.02989279214216606,-0.02902265788510144,0.0008701342570646212,0.9986319995206938
fold_2,1949,exp016_static_strict_oof_proxy,shuffled,0.1,10,4,-0.02989279214216606,-0.02802864387486187,0.0018641482673041922,0.9939815049414507
fold_2,1949,exp016_static_strict_oof_proxy,shuffled,0.15,10,4,-0.02989279214216606,-0.026854264676867516,0.0030385274652985454,0.985210712128842
fold_2,1950,exp016_static_strict_oof_proxy,momentum,0.05,10,5,-0.026792900124377555,-0.044554904380762685,-0.01776200425638513,0.998644253894163
fold_2,1950,exp016_static_strict_oof_proxy,momentum,0.1,10,5,-0.026792900124377555,-0.0643980490580629,-0.03760514893368534,0.9940120241238457
fold_2,1950,exp016_static_strict_oof_proxy,momentum,0.15,10,5,-0.026792900124377555,-0.08700449939965625,-0.06021159927527869,0.9850041817297206
fold_2,1950,exp016_static_strict_oof_proxy,shuffled,0.05,10,5,-0.026792900124377555,-0.025773946683986464,0.0010189534403910912,0.9986669490676312
fold_2,1950,exp016_static_strict_oof_proxy,shuffled,0.1,10,5,-0.026792900124377555,-0.02484465720722265,0.0019482429171549034,0.9941952908219518
fold_2,1950,exp016_static_strict_oof_proxy,shuffled,0.15,10,5,-0.026792900124377555,-0.024234896238115103,0.002558003886262452,0.9857671196344812
