window,time,variant,baseline_ic,candidate_ic,delta
fold_2,1945,final,0.1475383320119236,0.15249375445500238,0.004955422443078783
fold_2,1946,final,0.13037022506445306,0.1271419940848196,-0.0032282309796334563
fold_2,1947,final,0.14590852736143636,0.14534594216293653,-0.000562585198499832
fold_2,1948,final,0.16560647809334064,0.17242789882083848,0.0068214207274978345
fold_2,1949,final,-0.02989279214216606,-0.027609662071293544,0.0022831300708725175
fold_2,1950,final,-0.026792900124377555,-0.026388119937024702,0.0004047801873528524
fold_2,1951,final,-0.001972738669712881,0.0035806415361324595,0.005553380205845341
fold_2,1952,final,-0.07462937173840588,-0.07860000194246923,-0.003970630204063352
fold_2,1953,final,0.15257700026355409,0.150922019488171,-0.0016549807753830914
fold_2,1954,final,0.17720738594207955,0.17105061297029855,-0.006156772971780994
fold_2,1955,final,0.29041963040546964,0.28420107626747865,-0.006218554137990995
fold_2,1956,final,0.2796915515539037,0.27756044836007265,-0.00213110319383103
fold_2,1957,final,0.15656143170668751,0.16190385605490396,0.00534242434821644
fold_2,1958,final,0.14627890631551246,0.13713456419113462,-0.009144342124377841
fold_2,1959,final,0.0456739370985529,0.04408448231323413,-0.0015894547853187724
fold_2,1960,final,-0.01998182774339681,-0.021815954109731524,-0.0018341263663347145
fold_2,1961,final,0.0672244334693373,0.07134180727648232,0.004117373807145011
fold_2,1962,final,0.06529466944850514,0.0662802956515267,0.0009856262030215612
fold_2,1963,final,0.07752165793424164,0.08586379858521268,0.008342140650971039
fold_2,1964,final,0.07834116987410973,0.08423157372744865,0.005890403853338916
fold_2,1965,final,0.15256655991665397,0.15999044308144864,0.00742388316479467
fold_2,1966,final,0.09982352234142684,0.10166607852344968,0.0018425561820228364
fold_2,1967,final,0.1133200010193259,0.11265528402861126,-0.000664716990714645
fold_2,1968,final,0.03776902987828057,0.03381779976810514,-0.003951230110175431
fold_2,1969,final,0.14856629993215076,0.14705008503645942,-0.0015162148956913424
fold_2,1970,final,0.21600374220122015,0.2229692152619072,0.0069654730606870385
fold_2,1971,final,0.2312145442254583,0.23300095139963214,0.0017864071741738319
fold_2,1972,final,0.25989102498044164,0.2674473179058632,0.007556292925421537
fold_2,1973,final,0.31946818189570053,0.3185925067482803,-0.0008756751474202074
fold_2,1974,final,0.2278112781099529,0.22637330985827325,-0.001437968251679661
fold_2,1975,final,0.2532305982734073,0.2522789399817256,-0.0009516582916817007
fold_2,1976,final,0.1994509026200787,0.20045831514365847,0.001007412523579776
fold_2,1977,final,0.1567889449976386,0.15201037211955984,-0.004778572878078757
fold_2,1978,final,0.14766732650641293,0.1422109654168145,-0.005456361089598433
fold_2,1979,final,0.2513784002970484,0.24221279806240753,-0.009165602234640857
fold_2,1980,final,0.20620181662325565,0.19901489734496025,-0.0071869192782954006
fold_2,1981,final,0.1942800418259089,0.19467686235104287,0.00039682052513395627
fold_2,1982,final,0.15022925448401706,0.1441206883532592,-0.006108566130757859
fold_2,1983,final,0.011485649408645783,0.004051246913117903,-0.00743440249552788
fold_2,1984,final,0.020916190701563548,0.015179166229497797,-0.005737024472065751
fold_2,1985,final,-0.060735313669332096,-0.06591473497149909,-0.005179421302166996
fold_2,1986,final,0.03999871209952327,0.03715077822188565,-0.0028479338776376192
fold_2,1987,final,0.08795675510638311,0.08750084351252399,-0.00045591159385911795
fold_2,1988,final,0.13506983275864934,0.13234043139609727,-0.002729401362552064
fold_2,1989,final,0.06605381973462018,0.06541667642612953,-0.0006371433084906564
fold_2,1990,final,0.0074456908907300145,0.006016250481930814,-0.0014294404087992008
fold_2,1991,final,0.02850181074963732,0.02761273559117191,-0.0008890751584654105
fold_2,1992,final,-0.025238121790705045,-0.02714107782668782,-0.001902956035982773
fold_2,1993,final,-0.07998889812047508,-0.07698757575641663,0.0030013223640584508
fold_2,1994,final,-0.036174170254068196,-0.033532039288554354,0.002642130965513842
fold_2,1995,final,0.14424356489549053,0.1460404481052476,0.001796883209757072
fold_2,1996,final,0.19396456163522105,0.20075189629144397,0.006787334656222915
fold_2,1997,final,0.11832276706521577,0.11069903942385205,-0.007623727641363723
fold_2,1998,final,0.13201162937256006,0.12215587144563783,-0.009855757926922226
fold_2,1999,final,0.1172787929566082,0.11495614434514487,-0.002322648611463335
fold_2,2000,final,0.21134270005284145,0.2133022998917051,0.0019595998388636515
fold_2,2001,final,0.17015671284276643,0.17070405348482212,0.0005473406420556937
fold_2,2002,final,0.20643082324942758,0.20206052144292086,-0.004370301806506716
fold_2,2003,final,0.14296304428209342,0.13437198003125952,-0.00859106425083389
fold_2,2004,final,0.06292639374943637,0.04800195626247304,-0.01492443748696333
fold_2,2005,final,0.13769396907555553,0.13440535596207173,-0.0032886131134838015
fold_2,2006,final,0.11661038134513774,0.11798518949059902,0.001374808145461287
fold_2,2007,final,0.1526427201798786,0.1634764189744914,0.010833698794612795
fold_2,2008,final,0.0433121323743812,0.04636012634574276,0.0030479939713615595
fold_2,2009,final,0.10944604971555054,0.10916010615454542,-0.0002859435610051142
fold_2,2010,final,0.07542078489510301,0.07942441075324347,0.004003625858140458
fold_2,2011,final,0.08949947123082849,0.08982149920878782,0.00032202797795932714
fold_2,2012,final,0.022674714931472086,0.018948914796599308,-0.0037258001348727775
fold_2,2013,final,0.03664838966054775,0.03779713408203129,0.0011487444214835357
fold_2,2014,final,0.053063075666775546,0.04834568757508943,-0.004717388091686113
fold_2,2015,final,0.02450914290059615,0.012526017858171793,-0.011983125042424358
fold_2,2016,final,0.007428378822167396,0.006368044000349989,-0.0010603348218174071
fold_2,2017,final,0.07445751998441393,0.07069033461157122,-0.0037671853728427074
fold_2,2018,final,0.09690858987017821,0.09489748508355303,-0.0020111047866251813
fold_2,2019,final,0.08344289241768534,0.08115221979344618,-0.002290672624239154
fold_2,2020,final,0.13123726435221647,0.13333933916380855,0.0021020748115920806
fold_2,2021,final,0.16680871520913398,0.1639891563624661,-0.0028195588466678745
fold_2,2022,final,0.1769146123103722,0.17582795510763916,-0.0010866572027330434
fold_2,2023,final,0.047086042018250486,0.04644405604739156,-0.0006419859708589257
fold_2,2024,final,-0.02272441588439973,-0.029111241983054148,-0.00638682609865442
fold_2,2025,final,-0.0808886111144034,-0.08295900382525793,-0.0020703927108545322
fold_2,2026,final,-0.1375925262495025,-0.14795231182139384,-0.01035978557189135
fold_2,2027,final,-0.0707369316709369,-0.08314434691408751,-0.012407415243150602
fold_2,2028,final,0.15417621332516074,0.15389284267903433,-0.0002833706461264074
fold_2,2029,final,0.2091400239972588,0.20907049551179668,-6.952848546212809e-05
fold_2,2030,final,0.10375614283883586,0.1010817620265164,-0.002674380812319452
fold_2,2031,final,0.08953063846966197,0.10671169119288877,0.0171810527232268
fold_2,2032,final,0.07075530435474302,0.07399298064066927,0.00323767628592625
fold_2,2033,final,-0.012663966239372793,-0.012966968610433829,-0.0003030023710610362
fold_2,2034,final,-0.0049316851300201135,-0.0018734948339416892,0.0030581902960784245
fold_2,2035,final,-0.08421612367688534,-0.08688495408342227,-0.002668830406536926
fold_2,2036,final,-0.08139156496371643,-0.09803328470612269,-0.01664171974240626
fold_2,2037,final,0.0011747496701526787,-0.004612443163864513,-0.005787192834017192
fold_2,2038,final,0.042802613109969495,0.041015640528812965,-0.0017869725811565304
fold_2,2039,final,0.018807057512873444,0.01723026494170086,-0.001576792571172582
fold_2,2040,final,0.05786302596083721,0.048373064521533254,-0.009489961439303952
fold_2,2041,final,0.25808287081930076,0.28061115926407715,0.02252828844477639
fold_2,2042,final,0.07423825494210463,0.07163439944017777,-0.0026038555019268633
fold_2,2043,final,0.08154219119497376,0.07764447978179116,-0.0038977114131825974
fold_2,2044,final,0.10763673549934537,0.1049710869892372,-0.0026656485101081706
fold_2,2045,final,0.17608880882919567,0.17502057316055414,-0.0010682356686415317
fold_2,2046,final,0.20238726593602127,0.1966763391911826,-0.005710926744838668
fold_2,2047,final,0.207564321761347,0.205056661231199,-0.0025076605301480037
fold_2,2048,final,0.32286823466892556,0.3309873052800316,0.00811907061110606
fold_2,2049,final,0.24302326245346556,0.23550990727508772,-0.00751335517837784
fold_2,2050,final,0.16634452502112423,0.1612966727019533,-0.005047852319170931
fold_2,2051,final,0.15839130963678252,0.16165382901878306,0.003262519382000534
fold_2,2052,final,0.07914602373053604,0.07998594556941399,0.0008399218388779467
fold_2,2053,final,0.09851272540518036,0.09457750033604795,-0.003935225069132409
fold_2,2054,final,0.128031016454665,0.1279117524377678,-0.00011926401689718591
fold_2,2055,final,0.09459948100683771,0.09652810147087992,0.0019286204640422133
fold_2,2056,final,0.08577347219198883,0.08540722351622616,-0.0003662486757626676
fold_2,2057,final,0.22957618183172518,0.22960093951348015,2.4757681754972172e-05
fold_2,2058,final,0.21628946225997292,0.21478565590861123,-0.0015038063513616862
fold_2,2059,final,0.23458288434022367,0.2337967556098844,-0.0007861287303392861
fold_2,2060,final,0.17802049052837732,0.17315672663539888,-0.004863763892978434
fold_2,2061,final,0.16851159162450904,0.16596689075286677,-0.002544700871642269
