test_time,preserved,mean_neighbor_distance,min_library_time,max_library_time,rank_correlation_to_exp023h,rank_correlation_to_exp024b
3161,True,nan,missing,missing,1.0,1.0
3162,True,nan,missing,missing,0.9999999999999998,0.9999999999999998
3163,True,nan,missing,missing,1.0,1.0
3164,True,nan,missing,missing,1.0,1.0
3165,True,nan,missing,missing,0.9999999999999998,0.9999999999999998
3166,True,nan,missing,missing,1.0,1.0
3167,False,2.6587958335876465,2924,3160,0.9974793729919811,0.9994914426377152
3168,False,1.62603759765625,3024,3158,0.9975384886439957,0.9998399376161866
3169,False,2.2387893199920654,2828,3158,0.997694432179639,0.9992959908784663
3170,False,3.3826451301574707,2820,3160,0.9975445739522163,0.9997872811304873
3171,False,2.968538999557495,2920,3157,0.9978970990826503,0.9997931473176549
3172,False,2.1949338912963867,3059,3160,0.9976628345411569,0.9994626593735035
3173,False,2.6944050788879395,2486,3155,0.9978385697455529,0.9997745790942749
3174,False,2.393308162689209,3024,3155,0.9978518156821158,0.999723594040198
3175,False,2.566619634628296,2933,3156,0.9976913862165842,0.999809518899396
3176,False,3.5983080863952637,1156,3155,0.9976305824325326,0.9995336740086744
3177,False,2.508908271789551,2845,3160,0.9978680153590989,0.9997350114925215
3178,False,2.9574153423309326,2504,3155,0.9972569879791723,0.9994813312684332
3179,False,3.970052719116211,2257,3127,0.9968272399329099,0.9984520463269942
3180,False,6.094503402709961,2796,3156,0.9978474305711894,0.9998186032857509
3181,False,2.977595567703247,2497,3159,0.9977020194529101,0.9995004572138109
3182,False,2.200011730194092,2986,3160,0.9977650871830168,0.9997694775425237
3183,False,1.8921401500701904,2846,3158,0.9980527570389531,0.9996795461417477
3184,False,2.6444807052612305,2528,3158,0.9976754619182134,0.9995615278947365
3185,False,2.7391767501831055,2924,3160,0.9981212665676624,0.9997676714880239
3186,False,2.271524429321289,3027,3160,0.9980979685768641,0.9995446000151166
3187,False,1.988259196281433,3009,3160,0.9980558224361615,0.9996568283504994
3188,False,2.196596384048462,2846,3158,0.9977354036350045,0.9996006539511967
3189,False,2.4427084922790527,2989,3160,0.9979867615485106,0.9991744949194206
3190,False,1.9748880863189697,2968,3160,0.9980823599052232,0.9996775301039295
3191,False,2.5001461505889893,2846,3158,0.9977718033939684,0.9995386214625371
3192,False,2.1835787296295166,2968,3160,0.9978903361201557,0.9994983702132311
3193,False,3.918285846710205,1245,3117,0.9979431330566302,0.9996516509344755
