experiment,artifact,baseline,causal_status,train_range,valid_range,local_rank_ic,online_rank_ic,prediction_path,prediction_sha256,metrics_path,metadata_path,status,decision,changed_variable
exp_001_linear_baseline,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_001_linear_baseline/prediction.npy,57da1582c4b8f9aed8bea1012911af3d4e4b88ae6303e8a2fcea9baf68e48592,04_results/exp_001_linear_baseline/metrics.json,04_results/exp_001_linear_baseline/metadata.json,completed,missing,missing
exp_002_tcn_baseline,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_002_tcn_baseline/prediction.npy,7b9cd7e831e3ae9a5374f35d870e5281d696ead4b1e66b1efc02af2ea71ec4e8,04_results/exp_002_tcn_baseline/metrics.json,04_results/exp_002_tcn_baseline/metadata.json,completed,missing,missing
exp_003_lgbm_rank,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_003_lgbm_rank/prediction.npy,9d322401a2d8fedd38dea66b97578873e721f03eeb93575dbc8bdc2a1aef38e6,04_results/exp_003_lgbm_rank/metrics.json,04_results/exp_003_lgbm_rank/metadata.json,completed,missing,missing
exp_004_model_ensemble,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_004_model_ensemble/prediction.npy,8e9f8439fb92ed032771cd2f1d2cdc2390b70f13ff59c45332e8b801b4396f4c,04_results/exp_004_model_ensemble/metrics.json,04_results/exp_004_model_ensemble/metadata.json,completed_not_promoted,missing,missing
exp_005_lgbm_feature_screen,missing,missing,not_assessed,missing,missing,missing,missing,missing,missing,04_results/exp_005_lgbm_feature_screen/metrics.json,04_results/exp_005_lgbm_feature_screen/metadata.json,historical_metrics_only,missing,missing
exp_006_lgbm_window_screen,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_006_lgbm_window_screen/prediction.npy,d22e50922319ed7b1f9dbb26aab2d1bdf14fb78decb0fd6c15ede90dbf761955,04_results/exp_006_lgbm_window_screen/metrics.json,04_results/exp_006_lgbm_window_screen/metadata.json,completed,missing,missing
exp_007_recent_window_blend,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_007_recent_window_blend/prediction.npy,fb7cf4518bfd2d43196609798652a15701670f130c51166a553e6bedbbdec9ae,04_results/exp_007_recent_window_blend/metrics.json,04_results/exp_007_recent_window_blend/metadata.json,candidate_not_submitted,missing,missing
exp_008_new_method,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_008_new_method/prediction.npy,22359cc5eb97aa81ddaf369350c07c92063e97eab4aa134c572019e107512ec5,missing,missing,recorded,missing,missing
exp_009_anchor_recent_blend_cv,prediction.npy,missing,not_assessed,missing,missing,0.109928,missing,04_results/exp_009_anchor_recent_blend_cv/prediction.npy,8562706cc3a210db7ad2a067852050e22dcc32c8564f9347011d6fccafeef48c,04_results/exp_009_anchor_recent_blend_cv/metrics.json,04_results/exp_009_anchor_recent_blend_cv/metadata.json,submitted_online_best,missing,missing
exp_009_anchor_recent_blend_cv,prediction.npy,missing,not_assessed,missing,missing,0.109928,missing,04_results/exp_009_anchor_recent_blend_cv/preflight/prediction.npy,9d322401a2d8fedd38dea66b97578873e721f03eeb93575dbc8bdc2a1aef38e6,04_results/exp_009_anchor_recent_blend_cv/metrics.json,04_results/exp_009_anchor_recent_blend_cv/metadata.json,submitted_online_best,missing,missing
exp_010_anchor_enhanced_blend,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_010_anchor_enhanced_blend/prediction.npy,9d322401a2d8fedd38dea66b97578873e721f03eeb93575dbc8bdc2a1aef38e6,04_results/exp_010_anchor_enhanced_blend/metrics.json,04_results/exp_010_anchor_enhanced_blend/metadata.json,completed_not_promoted,missing,missing
exp_011_stable_anchor_retrain,prediction.npy,missing,not_assessed,missing,missing,0.104988,missing,04_results/exp_011_stable_anchor_retrain/prediction.npy,4e5584016b77a8533410dddc2f3bb1c66ee75b0ff23aa92b1dfc20dfd3824863,04_results/exp_011_stable_anchor_retrain/metrics.json,04_results/exp_011_stable_anchor_retrain/metadata.json,recorded,missing,missing
exp_012_framework_base,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_012_framework_base/prediction.npy,59a696ac917bc0cf82483c967c2fedaca17887e88619c2f3ac2bd7cec88f5cc5,04_results/exp_012_framework_base/metrics.json,missing,recorded,missing,missing
exp_012_model_zoo,missing,missing,not_assessed,missing,missing,missing,missing,missing,missing,missing,missing,recorded,missing,missing
exp_012_retrain_policy,missing,missing,not_assessed,missing,missing,missing,missing,missing,missing,04_results/exp_012_retrain_policy/metrics.json,missing,recorded,missing,missing
exp_013_stockmixer_recursive,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_013_stockmixer_recursive/prediction.npy,4b61d76d34a90c16b33f91f5e411618e0d8191ff16bf4bc829407d1c86238131,04_results/exp_013_stockmixer_recursive/metrics.json,04_results/exp_013_stockmixer_recursive/metadata.json,completed,missing,missing
exp_013_stockmixer_recursive,prediction_raw.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_013_stockmixer_recursive/prediction_raw.npy,a099ffb79f2839d63d32606163e5e221bb16345ac827d8dc8e45d0b02626f61c,04_results/exp_013_stockmixer_recursive/metrics.json,04_results/exp_013_stockmixer_recursive/metadata.json,completed,missing,missing
exp_013_stockmixer_recursive,prediction_smoke.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_013_stockmixer_recursive/smoke/prediction_smoke.npy,de18b268e74bc9df6588f3673f32ad9cd91108dcb048cf40b5a5d1501799175a,04_results/exp_013_stockmixer_recursive/metrics.json,04_results/exp_013_stockmixer_recursive/metadata.json,completed,missing,missing
exp_014_anchor_residual_rankglu_v2,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_014_anchor_residual_rankglu_v2/prediction.npy,8562706cc3a210db7ad2a067852050e22dcc32c8564f9347011d6fccafeef48c,04_results/exp_014_anchor_residual_rankglu_v2/metrics.json,04_results/exp_014_anchor_residual_rankglu_v2/metadata.json,full_completed,missing,missing
exp_015_drift_robust_rank,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_015_drift_robust_rank/integrated_v2/full/prediction.npy,a45190d975d2c27fbf448f67fb86b30e490a4b1305e5b9fae51654c04a184ed3,missing,missing,recorded,missing,missing
exp_016_unified_expert_fusion,prediction.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_016_unified_expert_fusion/full/prediction.npy,5721e5fa325ecce624755da65db6e0245f2e79857f14f6d61e4fed9d9c83c524,missing,missing,recorded,missing,missing
exp_016_unified_expert_fusion,prediction_pruned_no_dual_axis.npy,missing,not_assessed,missing,missing,missing,missing,04_results/exp_016_unified_expert_fusion/full/prediction_pruned_no_dual_axis.npy,cbd3b3fafd317479969bd6c82e51250971da4044676c3235283556572ecc00ca,missing,missing,recorded,missing,missing
exp_017,missing,missing,not_assessed,missing,missing,missing,missing,missing,missing,missing,missing,recorded,missing,missing
