key,config,features,feature_count,window,train_start,train_stop,train_rows,rounds,training_seconds,mean_rank_ic,std_rank_ic,late_half_rank_ic,worst_quarter_rank_ic,negative_time_share,selection_score,param_profile,train_stock_cap,num_threads
legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,8,51.65030288696289,0.0940177590150624,0.1148601188328396,0.0946220275247306,0.0529903935102891,0.2016460905349794,0.0859935664670082,,,
legacy_328_recent1702__r16,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,16,161.12150835990906,0.0943090214913019,0.1157275809716086,0.094732328089974,0.0520770049713636,0.1975308641975308,0.0859896101669159,,,
tuned_public_best_cap1200__legacy_328_full__r8,legacy_328_full,legacy_328,328,full,486,2918,2918400,8,20.06312131881714,0.092940153549703,0.10905264603155261,0.09186783594296577,0.059262187805490904,0.19753086419753085,0.08588286511883941,tuned_public_best,1200.0,30.0
tuned_public_best_cap1200__legacy_328_full__r16,legacy_328_full,legacy_328,328,full,486,2918,2918400,16,20.06312131881714,0.09236182294772528,0.10826266696245043,0.09075410461285797,0.05949591899823527,0.18930041152263374,0.08530632665736708,tuned_public_best,1200.0,30.0
legacy_328_recent1702__r32,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,32,161.12150835990906,0.0933375834356061,0.1139310119415733,0.0919881252069326,0.0536153443150837,0.176954732510288,0.0849882981428996,,,
legacy_328_recent1945__r16,legacy_328_recent1945,legacy_328,328,1945,973,2918,5495753,16,184.5595707893372,0.0921830804414853,0.1123241477260147,0.091540796414513,0.0557704083042078,0.1893004115226337,0.0847078608059381,,,
legacy_328_recent1945__r8,legacy_328_recent1945,legacy_328,328,1945,973,2918,5495753,8,184.5595707893372,0.0914085031968241,0.1112124760410952,0.0897931316499491,0.059085825954829,0.1975308641975308,0.0844593562843626,,,
tuned_public_best_cap1200__legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,8,15.217489957809448,0.09113175832211921,0.10772880399727608,0.08900497423191747,0.05668395697367098,0.16872427983539096,0.08360416282536903,tuned_public_best,1200.0,30.0
legacy_328_recent1945__r32,legacy_328_recent1945,legacy_328,328,1945,973,2918,5495753,32,184.5595707893372,0.0903960168996695,0.1072464357117645,0.0874359010556471,0.0578367197636435,0.1934156378600823,0.0829961227192576,,,
legacy_328_full__r8,legacy_328_full,legacy_328,328,full,486,2918,6489099,8,69.26392149925232,0.0892274812367107,0.105382143565081,0.0858028078051077,0.0627030272625989,0.176954732510288,0.0828951884124074,,,
legacy_328_recent2188__r8,legacy_328_recent2188,legacy_328,328,2188,730,2918,6025758,8,192.7830948829651,0.0891807372966753,0.1019024953920832,0.0849827034133702,0.0638858064020683,0.1810699588477366,0.0828623409527624,,,
tuned_public_best__legacy_328_recent1702__r8,legacy_328_recent1702,legacy_328,328,1702,1216,2918,4933218,8,87.12301468849182,0.0905814771614461,0.108549034021538,0.0897007446869452,0.0528015441722172,0.1934156378600823,0.08276127082125,tuned_public_best,,
tuned_public_best_cap1200__legacy_328_recent1702__r16,legacy_328_recent1702,legacy_328,328,1702,1216,2918,2042400,16,15.217489957809448,0.08965672120833612,0.10630773028328912,0.08593034875204884,0.05837909139724855,0.17695473251028807,0.08228328350923242,tuned_public_best,1200.0,30.0
