linear_weight,tcn_weight,lgbm_weight,first_half_rank_ic,second_half_rank_ic,full_rank_ic,plateau_max_delta,beats_first_half_single,beats_second_half_single,second_half_above_0_093940,stable_plateau,passes_all_gates
0.4,0.4,0.2,0.10961771122914712,0.09288342993796042,0.10128500326110766,0.0012773986040018198,True,True,False,False,False
0.45,0.4,0.15,0.1096085448312775,0.09286572556973437,0.10127158544590005,0.0011636506362598664,True,True,False,False,False
0.4,0.45,0.15,0.10997151513465721,0.09249494561252125,0.1012691903931821,0.0008388881990667729,True,True,False,True,False
0.45,0.35,0.2,0.10919770104794828,0.0932239194569457,0.10124367811580295,0.0009869619199233542,True,True,False,True,False
0.35,0.45,0.2,0.10977541949562344,0.0923264919342255,0.1010868588580549,0.0016376830798772307,True,True,False,False,False
0.5,0.35,0.15,0.10899419640020125,0.09305290840692314,0.1010563534076636,0.0014638289769362545,True,True,False,False,False
0.35,0.5,0.15,0.11006762620525257,0.0919351572760903,0.10103870134752156,0.0011364749294487525,True,True,False,False,False
0.45,0.45,0.1,0.10969355512822436,0.09229924929738713,0.1010321929655441,0.0015423032969230366,True,True,False,False,False
0.4,0.35,0.25,0.10893262710341446,0.09302645008742877,0.10101226735471378,0.0018534133017005378,True,True,False,False,False
0.4,0.5,0.1,0.10999955276841855,0.09190019948853856,0.10098711759613263,0.001217683120689858,True,True,False,False,False
0.5,0.3,0.2,0.10851562432637803,0.09336171912064763,0.10096985259842174,0.00122316618779382,True,True,False,False,False
0.45,0.3,0.25,0.10842422182430768,0.09335064774982779,0.10091845037158313,0.001688892338779474,True,True,False,False,False
0.35,0.4,0.25,0.10916729987559826,0.09250106413143742,0.10086847466965809,0.0021966776932230425,True,True,False,False,False
0.5,0.4,0.1,0.10913976851134914,0.09251505482179448,0.1008616188963857,0.001832194149527358,True,True,False,False,False
0.35,0.55,0.1,0.11006966714618521,0.09135058871493783,0.10074864455284803,0.0012155522271040803,True,True,False,False,False
0.3,0.5,0.2,0.1096897805938659,0.09161009747502868,0.10068714002851897,0.001988756353338811,True,True,False,False,False
