feature_index,feature,median_abs_fold_ic,mean_abs_fold_ic,fold_sign_stability,fold_1_mean_ic,fold_2_mean_ic,fold_3_mean_ic,correlation_cluster,selected_top40,selected_history_top20
0,num_0,0.012473259107770232,0.011142366464684096,1.0,-0.015521675056597725,-0.005432165229684331,-0.012473259107770232,0,False,False
1,num_1,0.02288172649085251,0.021537125401958596,1.0,0.02456218174397218,0.02288172649085251,0.017167467971051092,1,True,False
2,num_2,0.016390302335720492,0.01925692733747004,1.0,-0.016390302335720492,-0.013671243083300859,-0.027709236593388777,2,False,False
3,num_3,0.031534544191652754,0.03174185148918444,1.0,0.031534544191652754,0.03342232349273199,0.030268686783168578,3,True,True
4,num_4,0.030094353482811677,0.02364633855625484,1.0,0.033361441470876635,0.030094353482811677,0.007483220715076213,4,True,False
5,num_5,0.002735603741707392,0.004788800188300253,1.0,0.002735603741707392,0.000147717299884579,0.011483079523308789,5,False,False
6,num_6,0.013537218082763678,0.01934721387732936,0.6666666666666666,-0.03356226920357994,-0.010942154345644462,0.013537218082763678,6,False,False
7,num_7,0.06589170273966927,0.06771289048792183,1.0,-0.08340295383298424,-0.06589170273966927,-0.053844014891111985,7,False,False
8,num_8,0.07777386199338383,0.08282581521299835,1.0,-0.12595840052689916,-0.07777386199338383,-0.044745183118712076,8,True,True
9,num_9,0.012086969821096449,0.03595319148636377,0.6666666666666666,-0.08450697421835769,-0.012086969821096449,0.011265630419637188,9,False,False
10,num_10,0.015802090586921204,0.026209822107590736,0.6666666666666666,-0.060453830103145124,-0.0023735456327058746,0.015802090586921204,10,False,False
11,num_11,0.07518623386626731,0.07316655932665835,1.0,-0.09586630878528213,-0.07518623386626731,-0.048447135328425595,11,True,True
12,num_12,0.002246654729336981,0.0021681087997209047,0.6666666666666666,0.002246654729336981,-0.0023367269687382714,-0.001920944701087462,12,False,False
13,num_13,0.006646294247881821,0.005891260701664717,1.0,-0.006646294247881821,-0.007606652933674302,-0.0034208349234380294,13,False,False
14,num_14,0.007614921113588506,0.007875937126615077,1.0,0.013269288202741356,0.007614921113588506,0.0027436020635153717,14,False,False
15,num_15,0.021831100488161895,0.017665462906662224,1.0,0.022315641709694446,0.021831100488161895,0.00884964652213033,15,True,False
16,num_16,0.009902257341767593,0.009942260100688858,1.0,-0.01887094694317383,-0.009902257341767593,-0.0010535760171251512,16,False,False
17,num_17,,,0.0,,,,17,False,False
18,num_18,,,0.0,,,,18,False,False
19,num_19,,,0.0,,,,19,False,False
20,num_20,,,0.0,,,,20,False,False
21,num_21,,,0.0,,,,21,False,False
22,num_22,,,0.0,,,,22,False,False
23,num_23,,,0.0,,,,23,False,False
24,num_24,,,0.0,,,,24,False,False
25,num_25,,,0.0,,,,25,False,False
26,num_26,0.0018721661157752388,0.0036685547563070973,0.6666666666666666,0.007802033466595967,-0.0018721661157752388,0.0013314646865500864,26,False,False
27,num_27,0.0016967475257078782,0.00444755836259141,0.6666666666666666,0.010135374337198022,-0.0015105532248683297,-0.0016967475257078782,27,False,False
28,num_28,0.006375911441806744,0.007844568425468422,0.6666666666666666,0.002150030731162572,-0.006375911441806744,-0.015007763103435951,28,False,False
29,num_29,0.0012410288009235607,0.0036957810145827733,0.6666666666666666,-0.0004170382427522468,0.0012410288009235607,0.009429276000072514,29,False,False
30,num_30,0.011052225851659563,0.011588042382606837,1.0,-0.017907798610847302,-0.005804102685313648,-0.011052225851659563,0,False,False
31,num_31,0.019909954427121398,0.02376781699946004,1.0,-0.0405510262680032,-0.019909954427121398,-0.010842470303255523,31,False,False
32,num_32,0.015052465859014619,0.020553911628890708,1.0,-0.04014278745781831,-0.015052465859014619,-0.006466481569839189,32,False,False
33,num_33,0.016128038983633238,0.019880901439726522,1.0,-0.0336167557684274,-0.016128038983633238,-0.009897909567118914,33,False,False
34,num_34,0.010149611297018284,0.007551414741024137,0.6666666666666666,-0.010149611297018284,-0.0005139353799794645,0.011990697546074663,34,False,False
35,num_35,0.007948271740858503,0.008074470734103075,0.6666666666666666,-0.012301947306902062,-0.003973193154548663,0.007948271740858503,35,False,False
36,num_36,0.009178404594832426,0.008709713269969414,0.6666666666666666,-0.014004408646810285,-0.009178404594832426,0.0029463265682655336,36,False,False
37,num_37,0.014323262358175997,0.011884030819795272,1.0,0.014323262358175997,0.016386976141491833,0.004941853959717988,37,False,False
38,num_38,0.03330510856939662,0.04077616439927499,1.0,-0.027592867876233343,-0.03330510856939662,-0.06143051675219501,38,True,True
39,num_39,0.04633863851130222,0.04558787572919426,1.0,-0.04633863851130222,-0.03864724152495741,-0.05177774715132315,39,True,True
40,num_40,0.0428588400548271,0.041382780275584924,1.0,-0.05930312466359158,-0.0428588400548271,-0.02198637610833609,40,True,True
41,num_41,0.06621883932202473,0.06551358279593922,1.0,-0.07327393184158379,-0.06621883932202473,-0.05704797722420913,7,True,True
42,num_42,0.03135070339642546,0.03244803818344099,1.0,-0.0506962176591028,-0.03135070339642546,-0.015297193494794694,42,True,True
43,num_43,0.02084948385164569,0.022046545370620497,1.0,-0.03304022414655351,-0.02084948385164569,-0.012249928113662288,43,True,False
44,num_44,0.010204409689462601,0.008601963401964575,0.6666666666666666,0.012844673422327653,0.010204409689462601,-0.0027568070941034694,44,False,False
45,num_45,0.006889744708161499,0.008474826875533924,1.0,-0.0052981260149063646,-0.006889744708161499,-0.01323660990353391,45,False,False
46,num_46,0.0164967346487962,0.0165870599173848,1.0,0.011298971761946776,0.0164967346487962,0.021965473341411426,46,False,False
47,num_47,0.03995178118110385,0.03874625267673891,1.0,-0.03995178118110385,-0.04579957650575836,-0.030487400343354527,47,True,True
48,num_48,0.03619511148165916,0.03341513579169198,1.0,-0.037785124370071026,-0.03619511148165916,-0.02626517152334575,48,True,True
49,num_49,0.030252170659054296,0.031070427380400823,1.0,-0.03360654765874188,-0.030252170659054296,-0.029352563823406307,49,True,False
50,num_50,0.031757406070527155,0.03306908634001657,1.0,-0.035911658618602085,-0.03153819433092046,-0.031757406070527155,50,True,True
51,num_51,0.024442097062395904,0.027426003335247046,1.0,-0.03369332114902008,-0.024442097062395904,-0.024142591794325152,51,True,False
52,num_52,0.014364106163398593,0.015138662749601559,1.0,-0.021908825462536925,-0.014364106163398593,-0.009143056622869154,52,False,False
53,num_53,0.03897610072684377,0.034414683672936736,0.6666666666666666,0.06195018487087599,0.03897610072684377,-0.0023177654210904367,53,True,True
54,num_54,0.017413048672542855,0.02428069200073443,1.0,0.05537902733721995,0.017413048672542855,4.9999992440475456e-05,54,False,False
55,num_55,0.02965044047947225,0.02919567027315688,1.0,-0.047173138274787065,-0.02965044047947225,-0.010763432065211324,55,True,False
56,num_56,0.026069635709080625,0.026536395234270014,1.0,-0.05339702579927864,-0.026069635709080625,-0.00014252419445078012,56,True,False
57,num_57,0.06667976551578693,0.06463894737787833,1.0,0.07244130964480001,0.06667976551578693,0.05479576697304801,57,True,True
58,num_58,0.0307245379470357,0.03150692690749878,1.0,-0.049063753689534056,-0.0307245379470357,-0.014732489085926599,42,False,False
59,num_59,0.0085048009557682,0.010008081702713579,1.0,0.0085048009557682,0.016381556990748197,0.005137887161624336,59,False,False
60,num_60,0.021641515953499293,0.019641137081573518,1.0,0.012145352480301993,0.025136542810919264,0.021641515953499293,60,True,False
61,num_61,0.023175695215832983,0.02134034387921795,1.0,0.014916279140812613,0.02592905728100825,0.023175695215832983,61,True,False
62,num_62,0.0029299590601708754,0.0024232417517297995,0.6666666666666666,-0.0013375950443411768,0.0029299590601708754,-0.003002171150677346,62,False,False
63,num_63,0.020436830945345697,0.017301801902424432,1.0,0.020597430195723965,0.020436830945345697,0.010871144566203642,63,False,False
64,num_64,0.021071361227435775,0.02021220036496681,1.0,-0.021197162462635373,-0.018368077404829285,-0.021071361227435775,64,True,False
65,num_65,0.0071521206412424945,0.007430626311583788,0.6666666666666666,0.0071521206412424945,0.008634777354728977,-0.006504980938779892,65,False,False
66,num_66,0.034611126604182925,0.034286612287766395,1.0,-0.052357422422174935,-0.034611126604182925,-0.015891287836941315,68,False,False
67,num_67,0.02397822094882314,0.017738633028405178,0.6666666666666666,0.02622719632123423,0.02397822094882314,-0.003010481815158166,67,True,False
68,num_68,0.04767275891645452,0.04971947626360838,1.0,-0.07549046173085672,-0.04767275891645452,-0.02599520814351389,68,True,True
69,num_69,0.042408460578756586,0.04325856998451888,1.0,-0.06598539848374553,-0.042408460578756586,-0.021381850891054516,68,False,False
70,num_70,0.018498081751106316,0.017317518907104312,0.6666666666666666,0.018498081751106316,0.025127897001268756,-0.008326577968937859,70,False,False
71,num_71,0.03075674690404031,0.02265191598333932,0.6666666666666666,0.03075674690404031,0.035860483941365005,-0.001338517104612654,71,True,True
72,num_72,0.03630373694043084,0.03887140673347355,1.0,-0.02674147027958237,-0.03630373694043084,-0.05356901298040745,72,True,True
73,num_73,0.04021783438128331,0.037878278722913605,1.0,-0.031192483782969415,-0.0422245180044881,-0.04021783438128331,73,True,True
74,num_74,0.03616069811369899,0.03867219649054177,1.0,-0.034431532594901094,-0.03616069811369899,-0.045424358763025224,74,True,True
75,num_75,0.026716636003292125,0.025360810744108772,1.0,-0.015505912247603603,-0.03385988398143059,-0.026716636003292125,75,True,False
76,num_76,0.024599831420971895,0.0304452046340989,1.0,-0.02185500901818604,-0.024599831420971895,-0.044880773463138755,76,True,False
77,num_77,0.01158400567318826,0.014290169264301369,1.0,-0.005543745328899927,-0.01158400567318826,-0.025742756790815922,77,False,False
78,num_78,0.01596285513235702,0.016636241139552543,1.0,0.018439272817220596,0.01596285513235702,0.015506595469080005,78,False,False
79,num_79,0.023142444889699944,0.025364083579350508,0.6666666666666666,0.03900266607759705,-0.013947139770754529,0.023142444889699944,79,True,False
80,num_80,0.008151244241988393,0.006670013801130854,1.0,0.0030124952796133126,0.008151244241988393,0.008846301881790855,80,False,False
81,num_81,0.0062799818804905845,0.006031685493683009,0.6666666666666666,-0.009582644296179388,0.002232430304379054,0.0062799818804905845,81,False,False
82,num_82,0.015202262487786897,0.01826309359069298,1.0,-0.029749975836528535,-0.015202262487786897,-0.009837042447763511,82,False,False
83,num_83,0.016434475894530214,0.020181785262375847,1.0,-0.03527086552398112,-0.016434475894530214,-0.008840014368616205,83,False,False
84,num_84,0.022153873257870698,0.023974612959508895,1.0,-0.02162113181796784,-0.022153873257870698,-0.028148833802688154,84,True,False
85,num_85,0.028277429531697273,0.025501858075085856,1.0,-0.028277429531697273,-0.029070692112526733,-0.019157452581033563,85,True,False
86,num_86,0.033698982892936546,0.03401313387920262,1.0,-0.03527372512495277,-0.033698982892936546,-0.03306669361971853,86,True,True
87,num_87,0.03032643919016932,0.03192270360866502,1.0,-0.04036477122149611,-0.03032643919016932,-0.02507690041432963,87,True,False
88,num_88,0.02353853701554985,0.021206976018308135,1.0,-0.028838435282503606,-0.02353853701554985,-0.011243955756870944,88,True,False
89,num_89,0.0034479135405028802,0.0030539897711043544,1.0,-0.002098113355246467,-0.003615942417563716,-0.0034479135405028802,89,False,False
90,num_90,0.057247343496850775,0.05436231427105467,1.0,-0.06809785146620993,-0.057247343496850775,-0.037741747850103285,90,True,True
91,num_91,0.022841896257661965,0.020966980816134097,1.0,-0.027237201760837597,-0.022841896257661965,-0.012821844429902723,91,True,False
92,num_92,0.017644438959999866,0.019068123039008608,1.0,-0.028096694424056524,-0.017644438959999866,-0.011463235732969434,92,False,False
93,num_93,0.013126708095515196,0.016103045519769373,1.0,-0.02398519470993213,-0.013126708095515196,-0.011197233753860794,93,False,False
94,num_94,0.006467489162686576,0.008454062019989788,0.6666666666666666,0.012973339776523355,0.006467489162686576,-0.005921357120759433,94,False,False
95,num_95,0.006570166432835949,0.007919049614256782,1.0,0.005044592256258391,0.006570166432835949,0.012142390153676007,95,False,False
96,num_96,0.013927694215647319,0.013253535024401028,1.0,-0.014713647823430761,-0.01111926303412501,-0.013927694215647319,96,False,False
97,num_97,0.018207615843367317,0.019608880442526927,1.0,-0.018207615843367317,-0.017314929419462066,-0.023304096064751395,96,False,False
